Participant ,Duration ,Duration (seconds) ,Steps
P1          ,0:02:33  ,             153.0 ,   23
P2          ,0:03:39  ,             219.0 ,   34
P3          ,0:01:45  ,             105.0 ,   21
P4          ,0:03:01  ,             181.0 ,   31
P5          ,0:01:58  ,             118.0 ,   23
P6          ,0:02:50  ,             170.0 ,   31
P7          ,0:02:04  ,             124.0 ,   24
P8          ,0:02:37  ,             157.0 ,   21
P9          ,0:02:20  ,             140.0 ,   26
P10         ,0:02:21  ,             141.0 ,   26
